Country Name;Country Code;Year;Time Code;Unemployment, total (% of total labor force);Urban population (% of total population) [SP.URB.TOTL.IN.ZS];Individuals using the Internet (% of population) [IT.NET.USER.ZS]
France;FRA;2018;YR2018;9,018;80,444;82,0432
France;FRA;2019;YR2019;8,415;80,709;83,3397
France;FRA;2020;YR2020;8,01;80,975;84,7064
France;FRA;2021;YR2021;7,874;81,242;86,0955
France;FRA;2022;YR2022;7,308;81,509;85,3333
France;FRA;2023;YR2023;7,335;81,777;86,8364
Georgia;GEO;2015;YR2015;16,506;57,448;47,5698
Georgia;GEO;2016;YR2016;16,604;57,837;58,4593
Georgia;GEO;2017;YR2017;13,939;58,231;59,7055
Georgia;GEO;2018;YR2018;12,667;58,632;62,7179
Georgia;GEO;2019;YR2019;11,565;59,039;68,8467
Georgia;GEO;2020;YR2020;11,734;59,453;72,5316
Georgia;GEO;2021;YR2021;11,734;59,872;76,4427
Georgia;GEO;2022;YR2022;11,734;60,297;78,7113
Georgia;GEO;2023;YR2023;11,734;60,727;81,8842
Greece;GRC;2015;YR2015;24,981;78,046;66,835
Greece;GRC;2016;YR2016;23,514;78,387;69,0879
Greece;GRC;2017;YR2017;21,414;78,724;69,893
Greece;GRC;2018;YR2018;19,179;79,058;72,2384
Greece;GRC;2019;YR2019;17,045;79,388;75,6712
Greece;GRC;2020;YR2020;15,899;79,715;78,1158
Greece;GRC;2021;YR2021;14,657;80,038;78,4943
Greece;GRC;2022;YR2022;12,426;80,357;83,1707
Greece;GRC;2023;YR2023;11,023;80,673;85,0102
Germany;DEU;2015;YR2015;4,612;77,2;87,5898
Germany;DEU;2016;YR2016;4,104;77,224;84,1652
Germany;DEU;2017;YR2017;3,781;77,261;84,3942
Germany;DEU;2018;YR2018;3,384;77,312;87,0371
Germany;DEU;2019;YR2019;3,163;77,376;88,1345
Germany;DEU;2020;YR2020;3,881;77,453;89,8129
Germany;DEU;2021;YR2021;3,594;77,544;91,4306
Germany;DEU;2022;YR2022;3,12;77,648;91,6298
Germany;DEU;2023;YR2023;3,068;77,765;92,4764
Hungary;HUN;2015;YR2015;6,813;70,5;72,8347
Hungary;HUN;2016;YR2016;5,115;70,779;79,2594
Hungary;HUN;2017;YR2017;4,156;71,062;76,7505
Hungary;HUN;2018;YR2018;3,709;71,351;76,0744
Hungary;HUN;2019;YR2019;3,419;71,644;80,3717
Hungary;HUN;2020;YR2020;4,25;71,942;84,7712
Hungary;HUN;2021;YR2021;4,045;72,245;88,6408
Hungary;HUN;2022;YR2022;3,609;72,552;89,1428
Hungary;HUN;2023;YR2023;4,107;72,864;91,4501
Ireland;IRL;2015;YR2015;9,908;62,538;83,4948
Ireland;IRL;2016;YR2016;8,374;62,737;83,5
Ireland;IRL;2017;YR2017;6,713;62,947;84,114
Ireland;IRL;2018;YR2018;5,741;63,17;87,0001
Ireland;IRL;2019;YR2019;4,95;63,405;87,0001
Ireland;IRL;2020;YR2020;5,623;63,653;91,9999
Ireland;IRL;2021;YR2021;6,364;63,912;94,456
Ireland;IRL;2022;YR2022;4,501;64,183;95,5905
Ireland;IRL;2023;YR2023;4,288;64,466;95,5905
Iceland;ISL;2015;YR2015;3,979;93,7;98,2
Iceland;ISL;2016;YR2016;2,978;93,735;98,24
Iceland;ISL;2017;YR2017;2,742;93,773;98,2552
Iceland;ISL;2018;YR2018;2,704;93,813;99,011
Iceland;ISL;2019;YR2019;3,507;93,855;99,5049
Iceland;ISL;2020;YR2020;5,478;93,898;99,5328
Iceland;ISL;2021;YR2021;6,029;93,944;99,687
Iceland;ISL;2022;YR2022;3,789;93,992;99,8565
Iceland;ISL;2023;YR2023;3,518;94,042;99,8565
Italy;ITA;2015;YR2015;11,896;69,565;58,1417
Italy;ITA;2016;YR2016;11,688;69,855;61,3243
Italy;ITA;2017;YR2017;11,211;70,144;63,0773
Italy;ITA;2018;YR2018;10,61;70,438;74,3872
Italy;ITA;2019;YR2019;9,952;70,736;67,8507
Italy;ITA;2020;YR2020;9,164;71,039;70,4834
Italy;ITA;2021;YR2021;9,497;71,346;74,8623
Italy;ITA;2022;YR2022;8,069;71,657;85,0607
Italy;ITA;2023;YR2023;7,627;71,973;87,0278
Kosovo;XKX;2015;YR2015;32,84;52,333;81,2345
Kosovo;XKX;2016;YR2016;27,491;52,344;82,7767
Kosovo;XKX;2017;YR2017;30,344;52,555;83,8936
Kosovo;XKX;2018;YR2018;27,761;51,989;89,443
Kosovo;XKX;2019;YR2019;25,069;52,1;89,556
Kosovo;XKX;2020;YR2020;25,459;52,0179;89,669
Kosovo;XKX;2021;YR2021;20,392;51,9358;89,782
Kosovo;XKX;2022;YR2022;12,093;51,8537;89,895
Kosovo;XKX;2023;YR2023;10,091;51,7716;90,008
Latvia;LVA;2015;YR2015;9,873;67,98;79,2006
Latvia;LVA;2016;YR2016;9,643;68,021;79,8421
Latvia;LVA;2017;YR2017;8,715;68,075;80,1141
Latvia;LVA;2018;YR2018;7,412;68,142;83,5772
Latvia;LVA;2019;YR2019;6,312;68,222;86,1355
Latvia;LVA;2020;YR2020;8,098;68,315;88,898
Latvia;LVA;2021;YR2021;7,513;68,421;91,1796
Latvia;LVA;2022;YR2022;6,815;68,54;91,0301
Latvia;LVA;2023;YR2023;6,465;68,671;92,1879
Lithuania;LTU;2015;YR2015;9,12;67,23;71,3781
Lithuania;LTU;2016;YR2016;7,862;67,366;74,3766
Lithuania;LTU;2017;YR2017;7,073;67,516;77,6153
Lithuania;LTU;2018;YR2018;6,147;67,679;79,7226
Lithuania;LTU;2019;YR2019;6,255;67,855;81,5819
Lithuania;LTU;2020;YR2020;8,487;68,046;83,0555
Lithuania;LTU;2021;YR2021;7,112;68,249;86,9305
Lithuania;LTU;2022;YR2022;5,956;68,465;87,7242
Lithuania;LTU;2023;YR2023;6,841;68,694;88,5029
Luxembourg;LUX;2015;YR2015;6,796;90,179;96,3767
Luxembourg;LUX;2016;YR2016;6,669;90,46;98,1367
Luxembourg;LUX;2017;YR2017;5,523;90,727;97,363
Luxembourg;LUX;2018;YR2018;5,589;90,981;97,0613
Luxembourg;LUX;2019;YR2019;5,592;91,223;97,1206
Luxembourg;LUX;2020;YR2020;6,766;91,453;98,4596
Luxembourg;LUX;2021;YR2021;5,571;91,672;98,6609
Luxembourg;LUX;2022;YR2022;4,588;91,881;98,242
Luxembourg;LUX;2023;YR2023;5,184;92,078;99,3479
Malta;MLT;2015;YR2015;5,389;94,414;75,96
Malta;MLT;2016;YR2016;4,694;94,48;78,0751
Malta;MLT;2017;YR2017;4,008;94,546;81,0119
Malta;MLT;2018;YR2018;3,665;94,612;81,658
